cik,company_name,sector,feature_year,liabilities_to_assets,operating_cash_flow_to_assets,operating_margin,log_assets,next_year_financial_pressure,outcome_year,outcome_label
0000001750,AAR CORP,Industrial / Manufacturing,2021,,0.068324998376307,,21.154853429849624,,2022,Unknown
0000001750,AAR CORP,Industrial / Manufacturing,2022,,0.0477794014867526,,21.1768224531572,,2023,Unknown
0000001800,ABBOTT LABORATORIES,Industrial / Manufacturing,2021,,0.140073940103197,0.1955890887986071,25.043363875011423,0.0,2022,No Pressure
0000001800,ABBOTT LABORATORIES,Industrial / Manufacturing,2022,,0.1287111421585749,0.1915561358898586,25.033232401097305,0.0,2023,No Pressure
0000002098,ACME UNITED CORP,Industrial / Manufacturing,2021,0.4663343720301411,0.0355900362537227,0.0701310241629413,18.788365650205808,0.0,2022,No Pressure
0000002098,ACME UNITED CORP,Industrial / Manufacturing,2022,0.519214476488161,0.0175921033381875,0.0323428839339171,18.91767376689796,0.0,2023,No Pressure
0000002178,"ADAMS RESOURCES & ENERGY, INC.",Consumer / Retail,2021,0.5719649962770514,0.2162405958852744,0.0079789492811588,19.741644272805768,0.0,2022,No Pressure
0000002178,"ADAMS RESOURCES & ENERGY, INC.",Consumer / Retail,2022,0.7574519925343413,0.0358627547447801,0.0017140309666083,19.76656708995487,0.0,2023,No Pressure
0000002488,ADVANCED MICRO DEVICES INC,Technology / Software / Electronics,2021,,0.2835171914002737,0.2219788243884629,23.242493394992827,0.0,2022,No Pressure
0000002488,ADVANCED MICRO DEVICES INC,Technology / Software / Electronics,2022,,0.0527522935779816,0.0535570526672598,24.93657791824735,0.0,2023,No Pressure
0000002969,AIR PRODUCTS & CHEMICALS INC /DE/,Industrial / Manufacturing,2021,0.4754869839756955,0.1241734675641865,0.2210016468080984,24.013874243569656,0.0,2022,No Pressure
0000002969,"AIR PRODUCTS & CHEMICALS, INC.",Industrial / Manufacturing,2022,0.4960982031876319,0.1165978979575325,0.1841777833776952,24.026210714446893,0.0,2023,No Pressure
0000003197,CECO ENVIRONMENTAL CORP,Technology / Software / Electronics,2021,0.5051453998947614,0.0319512154100101,0.0304096995125563,19.846669266227497,0.0,2022,No Pressure
0000003197,CECO ENVIRONMENTAL CORP,Technology / Software / Electronics,2022,0.5677849742729152,0.0587433453333623,0.0524363090857896,20.03951636130272,0.0,2023,No Pressure
0000003570,CHENIERE ENERGY INC,Energy / Capital-intensive,2021,,0.0628916399205257,-0.0441880988401412,24.393421082087546,0.0,2022,No Pressure
0000003570,CHENIERE ENERGY INC,Energy / Capital-intensive,2022,,0.2550041196142102,0.136382673208089,24.44330475333368,0.0,2023,No Pressure
0000004127,SKYWORKS SOLUTIONS INC,Technology / Software / Electronics,2021,0.3833913417998533,0.2062695705821411,0.3156524632518447,22.87394605984361,0.0,2022,No Pressure
