sector,feature_year,operating_margin,liabilities_to_assets,ocf_to_assets,company_years
Consumer / Retail,2012,0.0505936724889163,0.5894341878259589,0.09952889836986764,225
Consumer / Retail,2013,0.0490745650582026,0.5647961335804925,0.0998361684272008,301
Consumer / Retail,2014,0.04298768141385565,0.5674620468306989,0.0884003979337415,327
Consumer / Retail,2015,0.0422485706768373,0.5962958478887423,0.0941418101918736,324
Consumer / Retail,2016,0.0401403264430928,0.6027949925423921,0.09937521122663606,306
Consumer / Retail,2017,0.04168267372467935,0.6024892863648557,0.08987643486317201,304
Consumer / Retail,2018,0.03823989704322235,0.6249318170017535,0.0897090562534898,297
Consumer / Retail,2019,0.0372479688363566,0.6876881201453129,0.0769715909780029,287
Consumer / Retail,2020,0.0274179117169678,0.670609028847364,0.09140920086281935,277
Consumer / Retail,2021,0.059589436903301596,0.6494031824695594,0.0806651652548476,285
Consumer / Retail,2022,0.0498041254298165,0.6505157763610867,0.0612469324443209,277
Consumer / Retail,2023,0.0427435352964268,0.6441080323785803,0.0902146698419277,261
Consumer / Retail,2024,0.0365280229301466,0.6158639784416182,0.0823591371385728,53
Energy / Capital-intensive,2012,0.1546653858918037,0.61508510833961,0.0814134968974267,191
Energy / Capital-intensive,2013,0.14804763835915535,0.592110833564381,0.08065398827305209,216
Energy / Capital-intensive,2014,0.16209288661852533,0.6058384428138277,0.07902853770969914,242
Energy / Capital-intensive,2015,0.0691407112878285,0.6534601410960788,0.0831843478471429,229
Energy / Capital-intensive,2016,0.0939057382884807,0.6241999734866669,0.0704266197232839,217
Energy / Capital-intensive,2017,0.1303939962476548,0.5696735810431481,0.07307722082762205,216
Energy / Capital-intensive,2018,0.1627459642600073,0.5370279571573537,0.0854165975379102,253
Energy / Capital-intensive,2019,0.12090299356805276,0.5598431987794368,0.0828959699632899,243
Energy / Capital-intensive,2020,0.082610912799592,0.6044208549839993,0.0715878891419893,217
Energy / Capital-intensive,2021,0.1723391236455832,0.5634814681767992,0.07832338627539825,214
Energy / Capital-intensive,2022,0.17863339669805978,0.5421949743813328,0.09132512300501511,210
Energy / Capital-intensive,2023,0.1873429457968739,0.5289747735160424,0.10374704168114315,194
Energy / Capital-intensive,2024,0.1078377836395329,0.7116174327725526,0.0782885150351039,5
Industrial / Manufacturing,2012,0.08541213630417194,0.5339514066496164,0.08627146867304875,541
Industrial / Manufacturing,2013,0.0794563120635215,0.5313437077768055,0.0897542677047971,705
Industrial / Manufacturing,2014,0.08242511281575074,0.551073935940269,0.0850374064837905,745
Industrial / Manufacturing,2015,0.0774392908421249,0.556359794729367,0.0890821638298149,732
Industrial / Manufacturing,2016,0.0774583528372351,0.5669251086308256,0.0915503325174774,707
Industrial / Manufacturing,2017,0.0774656027094188,0.5727340151293043,0.0839330469351044,713
Industrial / Manufacturing,2018,0.07867845362294396,0.5530132702222974,0.0851828028012536,713
Industrial / Manufacturing,2019,0.0660261397444091,0.5629459384257162,0.078121167525141,724
Industrial / Manufacturing,2020,0.0558182466709083,0.5495432222750903,0.0855476341817889,729
Industrial / Manufacturing,2021,0.0813031868835557,0.533270725805493,0.0686181389056788,763
Industrial / Manufacturing,2022,0.0720139018239381,0.5481841299036079,0.05546510967487195,734
Industrial / Manufacturing,2023,0.0728266536260465,0.5335118332726254,0.0827799895335697,709
Industrial / Manufacturing,2024,0.08631769651120841,0.5281392610411729,0.08404270061412306,113
Technology / Software / Electronics,2012,0.0703229182487436,0.4660518691721411,0.09258404418680885,424
Technology / Software / Electronics,2013,0.06683944141815196,0.4538638787724608,0.09343656780670026,584
Technology / Software / Electronics,2014,0.061649530285007845,0.4867872044506258,0.0876169808761698,618
Technology / Software / Electronics,2015,0.0529340622127618,0.5052408734084122,0.08295757903405525,606
Technology / Software / Electronics,2016,0.05490335270903885,0.5330846612389524,0.08899481050704215,551
Technology / Software / Electronics,2017,0.0557756400304141,0.5474037146144226,0.08119448895927589,568
Technology / Software / Electronics,2018,0.0620147632439258,0.5602301709923747,0.0808746173712097,584
Technology / Software / Electronics,2019,0.0556119106097369,0.5761494500720353,0.07954954188337465,587
Technology / Software / Electronics,2020,0.04358602038546515,0.5633272079023132,0.08604871524850885,603
Technology / Software / Electronics,2021,0.0459846770090225,0.5353119393285048,0.06326905172750474,687
Technology / Software / Electronics,2022,0.0459519149108184,0.5435204473193729,0.05664170358685,653
Technology / Software / Electronics,2023,0.04939483100919305,0.5332187857961054,0.07637423952841865,617
Technology / Software / Electronics,2024,0.06022404489319415,0.4964554161310445,0.0879254941171291,109
